 Time,10 g X,Temperature,Sound,Light,Pressure,Humidity,Comment
  min:s,g, C, dBA, lx, kPa, %RH,
04:50,0,16.69333,91.10369,36.22802,96.934,28.3856,
04:50,0,16.72,87.28999,39.42461,96.9,28.37034,
04:50,-0.008025683,16.77333,87.58524,37.29355,96.884,28.36271,
04:50,0,16.82667,89.11072,39.95738,96.892,28.34745,
04:50,0,16.85333,89.99648,41.55568,96.904,28.36271,
04:50,0,16.90667,89.5536,42.6212,96.9,28.35508,
04:50,0,16.96,88.39719,40.49014,96.88,28.33982,
04:50,0,17.04,87.06854,39.42461,96.924,28.33982,
04:50,-0.008025683,17.09333,89.67663,44.2195,96.904,28.33982,
05:00,0.008025683,17.2,89.82425,47.94886,96.88,28.33219,
05:00,0,17.36,85.39543,57.53862,96.886,28.33219,
05:00,0,17.49333,83.42706,60.20245,96.908,28.32456,
05:00,0,17.65333,87.19157,59.66969,96.914,28.31693,
05:00,-0.008025683,17.78667,87.46221,58.07139,96.88,28.3093,
05:00,0.008025683,17.94667,86.03515,60.20245,96.912,28.29404,
05:00,0,18.12422,85.54306,61.80075,96.884,28.27878,
05:00,-0.008025683,18.27329,87.3392,35.69526,96.886,28.27115,
05:00,-0.008025683,18.4472,89.79965,37.29355,96.878,28.24826,
05:00,0.008025683,18.57143,84.82953,33.5642,96.882,28.24826,
05:10,0.008025683,18.7205,86.2812,28.76931,96.87,28.23301,
05:10,0,18.84472,85.86292,27.70378,96.9,28.23301,
05:10,0.008025683,18.99379,87.3884,27.70378,96.878,28.22538,
05:10,-0.008025683,19.09317,87.9297,26.63825,96.916,28.21775,
05:10,0,19.21739,87.26538,25.57272,96.876,28.21012,
05:10,0.008025683,19.34162,88.37258,25.57272,96.884,28.21012,
05:10,0,19.44099,88.71705,24.50719,96.904,28.19486,
05:10,-0.008025683,19.54037,86.52724,26.63825,96.908,28.1796,
05:10,0.008025683,19.63975,86.77328,29.30208,96.888,28.1796,
05:10,0.008025683,19.73913,88.61863,31.43314,96.918,28.17197,
05:20,-0.008025683,19.83851,87.46221,31.9659,96.9,28.16434,
05:20,0,19.93789,89.35677,31.9659,96.924,28.15671,
05:20,-0.008025683,20.03727,85.71529,31.9659,96.872,28.14145,
05:20,0.008025683,20.13665,87.413,31.9659,96.924,28.14145,
05:20,0,20.23602,89.15993,31.43314,96.88,28.11856,
05:20,0.008025683,20.3354,86.52724,30.90037,96.876,28.11856,
05:20,0.008025683,20.40994,86.60105,30.90037,96.89,28.1033,
05:20,0,20.50932,88.20035,29.83484,96.9,28.1033,
05:20,-0.008025683,20.58385,88.56942,31.43314,96.914,28.07279,
05:20,0.008025683,20.65838,90.21793,30.36761,96.928,28.07279,
05:30,-0.008025683,20.73292,89.25835,29.83484,96.88,28.05753,
05:30,0.008025683,20.80745,87.83128,30.90037,96.888,28.05753,
05:30,-0.008025683,20.88199,88.22495,30.90037,96.876,28.03464,
05:30,0,20.95652,89.18453,27.70378,96.926,28.01938,
05:30,-0.008025683,21.03106,90.34095,31.43314,96.912,28.01175,
05:30,-0.01605137,21.08075,89.79965,37.82632,96.888,27.99649,
05:30,0,21.15528,87.28999,41.55568,96.894,27.9736,
05:30,0.008025683,21.20497,87.75747,34.09696,96.896,27.9736,
05:30,0,21.2795,89.43058,38.89185,96.898,27.95834,
05:30,0,21.32919,88.15115,39.95738,96.9,27.94308,
05:0,-0.008025683,21.40373,87.95431,42.08844,96.902,27.94308,
05:40,0.01605137,21.45342,85.73989,50.61268,96.89,27.92782,
05:40,-0.008025683,21.52795,82.76274,37.29355,96.894,27.92019,
05:40,0.01605137,21.60248,79.66257,46.35056,96.904,27.90494,
05:40,0,21.67702,74.37258,49.54715,96.872,27.89731,
05:40,-0.008025683,21.75155,75.43058,57.53862,96.89,27.88968,
05:40,-0.008025683,21.82609,80.30228,58.60416,96.888,27.87442,
05:40,0,21.92547,55.20562,59.13692,96.876,27.86679,
05:40,0.008025683,21.97515,46.88928,59.66969,96.864,27.85153,
05:40,-0.008025683,22.04734,78.2109,59.66969,96.886,27.8439,
05:50,0,22.11834,72.52724,59.66969,96.926,27.83627,
05:50,-0.008025683,22.18935,62.14411,59.66969,96.914,27.82864,
05:50,0,22.23669,76.29174,59.13692,96.908,27.81338,
05:50,-0.008025683,22.30769,66.89279,60.20245,96.91,27.80575,
